ID,Site,Sub-layer,Raw.material,Termal.alteration,Cortex,Cortex.position.core,Class,Core.blank,Laminar_y.n,Carinated_y.n,Core.type,Core.classification,Core.classification.2,Core.classification.3,Blank.production,Length,Width,Thickness,Flaking.surface.length,Flaking.surface.width,Second.flaking.surface.length,Second.flaking.surface.width,Last.removal.blank,Last.removal.length,Last.removal.width,Platform.number,Striking.platform,Second.striking.platform,Flaking.direction,Reduction.pattern,Surfaces.number,Ratio_fsl_thickness,Ratio_l_t,Ratio_fsl_width,Ratio_l_w,Ratio_w_t,Volume,Area,Scanner,model.3D
Ca_1516,Cala,AU10,Chert,FALSE,0%,NA,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet,14.6,26,21.1,14.60000038,25.20000076,NA,NA,Bladelet,15.1,5.9,1,Ventral face,NA,Unidirectional,Sub-parallel,1,0.691943146,0.691943128,0.561538476,0.561538462,1.232227488,3430.317871,1554.960051,Artec.Micro,yes
Ca_1517,Cala,AU10,Radiolarite,FALSE,0%,NA,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet,9.100000381,17.5,19.39999962,9.300000191,14.39999962,NA,NA,Bladelet,8.3,3,1,Ventral face,NA,Unidirectional,Convergent,1,0.479381463,0.469072194,0.531428582,0.520000022,0.902061873,1080.287231,696.052213,Artec.Micro,yes
Ca_1518,Cala,AU11,Chert,FALSE,0%,NA,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet,10.19999981,21.79999924,25,11.5,13.39999962,NA,NA,Bladelet,9.8,3.2,1,Ventral face,NA,Unidirectional,Convergent,1,0.46,0.407999992,0.527522954,0.467889916,0.871999969,2322.806885,1173.199299,Artec.Micro,yes
Ca_1522,Cala,AU11,Radiolarite,FALSE,33-66%,Base;Left,Core-Tool,Blade,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet,10.5,16.39999962,28.3,9.600000381,13.60000038,NA,NA,Bladelet,10.4,4,1,Ventral face,NA,Unidirectional,Convergent,1,0.339222628,0.371024735,0.585365891,0.640243917,0.579505287,1758.616577,1072.691559,Artec.Micro,yes
Ca_1524,Cala,AU10,Radiolarite,FALSE,1-33%,Back,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated burin,Carinated burin,Bladelet,18.70000076,17.5,17.79999924,18,17.20000076,NA,NA,Bladelet,12.2,5.5,1,Plain,NA,Unidirectional,Convergent,1,1.011235998,1.050561886,1.028571429,1.068571472,0.98314611,1745.268799,895.2197041,Artec.Micro,yes
Ca_1526,Cala,AU10,Quartzite,FALSE,0%,NA,Core,Flake,no,no,C - parallel,Parallel,Parallel,Parallel,Flake,32.29999924,23.60000038,13.80000019,NA,NA,NA,NA,Flake,NA,NA,1,Facetted,NA,Centripetal,Centripetal,1,NA,2.340579623,NA,1.368644013,1.710144932,2927.208252,1352.707014,Artec.Micro,yes
Ca_1531,Cala,AU10,Unknown,FALSE,0%,NA,Core,Flake,no,no,F - multidirectional,Multidirectional,Multidirectional,Multidirectional,Flake,35.59999847,29.5,16.39999962,NA,NA,NA,NA,Flake,NA,NA,2,NA,NA,Multidirectional,Multidirectional,2,NA,2.170731665,NA,1.206779609,1.79878053,6108.395508,2251.108334,Artec.Micro,yes
Ca_1532,Cala,AU10,Chert,FALSE,0%,NA,Core,Angular debris,no,no,F - multidirectional,Multidirectional,Multidirectional,Multidirectional,Flake,40.90000153,24.60000038,19.79999924,NA,NA,NA,NA,Flake,NA,NA,2,NA,NA,Multidirectional,Multidirectional,1,NA,2.065656722,NA,1.662601662,1.24242431,6352.922852,2191.784972,Artec.Micro,yes
Ca_1533,Cala,AU10,Radiolarite,FALSE,1-33%,Back,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet,21.5,25.5,29.20000076,15.60000038,14,NA,NA,Bladelet,11.5,3.8,1,Ventral face,NA,Unidirectional,Convergent,1,0.534246574,0.736301351,0.611764721,0.843137255,0.873287648,4730.017578,1784.76396,Artec.Micro,yes
Ca_1534,Cala,AU10,Chert,FALSE,0%,NA,Core,Undetermined,no,no,Bipolar,Bipolar,Bipolar,Bipolar,Bladelet-Flake,26.20000076,32.90000153,20.20000076,21,33.90000153,NA,NA,Flake,19.8,12.1,1,Dihedral,NA,Unidirectional,Sub-parallel,2,1.039603921,1.297029692,0.638297843,0.79635257,1.628712885,6870.780762,2224.378259,Artec.Micro,yes
Ca_1535,Cala,AU10,Unknown,FALSE,1-33%,Base,Core,Pebble,yes,no,D- platform;I - core shatter,Shatter laminar,Semi-circumferential,Shatter laminar,Bladelet,31.10000038,38.40000153,37.90000153,26.60000038,35.59999847,NA,NA,Undetermined,NA,NA,1,Reshaped,NA,Unidirectional,Sub-parallel,1,0.701846948,0.820580452,0.692708316,0.809895811,1.013192612,17088.49023,3740.131282,Artec.Micro,yes
Ca_1536,Cala,AU10,Radiolarite,FALSE,0%,NA,Core,Undetermined,no,no,F - multidirectional,Multidirectional,Multidirectional,Multidirectional,Flake,29.89999962,21.70000076,14,NA,NA,NA,NA,Flake,NA,NA,3,NA,NA,Multidirectional,Multidirectional,2,NA,2.135714258,NA,1.377880118,1.550000054,3873.097168,1539.600804,Artec.Micro,yes
Ca_1537,Cala,AU11,Chert,TRUE,1-33%,Lateral right,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet,13,21.60000038,21.5,14.10000038,18.79999924,NA,NA,Bladelet,8.8,3.5,1,Ventral face,NA,Unidirectional,Convergent,1,0.655813971,0.604651163,0.652777784,0.601851841,1.004651181,2476.556152,1091.593026,Artec.Micro,yes
Ca_1538,Cala,AU11,Radiolarite,FALSE,33-66%,Back;Lateral left;Lateral right,Core-Tool,Pebble,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet,18,27.5,37.5,14.89999962,21.5,NA,NA,Bladelet,10.9,4.9,1,Reshaped,NA,Unidirectional,Sub-parallel,1,0.397333323,0.48,0.541818168,0.654545455,0.733333333,8677.043945,2414.651108,Artec.Micro,yes
Ca_1539,Cala,AU10,Chert,TRUE,0,NA,Core,Angular debris,no,no,F - multidirectional,Multidirectional,Multidirectional,Multidirectional,Flake,37.79999924,31.70000076,16.39999962,NA,NA,NA,NA,Flake,NA,NA,2,NA,NA,Multidirectional,Multidirectional,2,NA,2.304878056,NA,1.192428969,1.932926921,10834.14258,3118.548628,Artec.Micro,yes
