ID,Volume,Area,Scanner,model.3D
Ca_65,1910.140747,944.2394196,Artec.Spider,yes
Ca_66,1321.31665,835.4291162,Artec.Spider,yes
Ca_67,2071.760254,1229.312087,Artec.Spider,yes
Ca_68,1445.804932,1093.668587,Artec.Spider,yes
Ca_69,1080.040161,735.2788479,Artec.Spider,yes
Ca_7,8095.224121,2981.705474,Artec.Spider,yes
Ca_70,2034.780273,1117.503726,Artec.Spider,yes
Ca_71,2143.388672,1068.201113,Artec.Spider,yes
Ca_72,2845.151855,1423.020761,Artec.Spider,yes
Ca_73,2818.978516,1377.960339,Artec.Spider,yes
Ca_74,2178.646973,1187.071468,Artec.Spider,yes
Ca_75,2244.62915,1152.99157,Artec.Spider,yes
Ca_76,988.8093262,624.6381165,Artec.Spider,yes
Ca_77,2448.207031,1205.083067,Artec.Spider,yes
Ca_78,8926.757813,2659.186232,Artec.Spider,yes
Ca_79,3850.567627,1451.610071,Artec.Spider,yes
Ca_8,11279.41309,3881.448755,Artec.Spider,yes
Ca_80,5119.748047,1984.42605,Artec.Spider,yes
Ca_81,5363.375977,1976.380932,Artec.Spider,yes
Ca_82,4453.740234,1858.429332,Artec.Spider,yes
Ca_83,2756.799316,1361.57911,Artec.Spider,yes
Ca_84,1825.859009,1222.097051,Artec.Spider,yes
Ca_85,1113.712891,905.9550306,Artec.Spider,yes
Ca_86,2044.727905,1289.796233,Artec.Spider,yes
Ca_87,1796.777954,1087.594083,Artec.Spider,yes
Ca_88,2770.401367,1515.311648,Artec.Spider,yes
Ca_89,3930.506348,1847.227982,Artec.Spider,yes
Ca_9,2397.669189,1190.365406,Artec.Spider,yes
Ca_90,4578.445801,2170.067023,Artec.Spider,yes
Ca_91,2770.045166,1310.629966,Artec.Spider,yes
Ca_92,3370.820557,1562.188819,Artec.Spider,yes
Ca_93,1218.949707,786.3988459,Artec.Spider,yes
Ca_94,1770.780518,987.0543512,Artec.Spider,yes
Ca_95,2406.792969,1319.931506,Artec.Spider,yes
Ca_96,6850.352539,3051.35962,Artec.Spider,yes
Ca_97,1420.619751,814.6321774,Artec.Spider,yes
Ca_98,1361.653076,750.415965,Artec.Spider,yes
Ca_99,3356.623535,1505.855309,Artec.Spider,yes
Ca_1026,2212.939697,1078.85197,Artec.Micro,yes
Ca_1027,4608.725586,1815.889602,Artec.Micro,yes
Ca_1290,3625.981445,1476.519698,Artec.Micro,yes
Ca_1347,2505.626465,1018.757725,Artec.Micro,yes
Ca_1487,4987.880859,1879.225511,Artec.Micro,yes
Ca_1488,2970.395508,1313.471891,Artec.Micro,yes
Ca_1493,1605.016357,917.7232273,Artec.Micro,yes
Ca_1494,7310.231934,2555.016442,Artec.Micro,yes
Ca_1495,3527.0271,1518.423502,Artec.Micro,yes
Ca_1501,12849.00098,3545.400753,Artec.Micro,yes
Ca_1502,4967.229492,1863.164409,Artec.Micro,yes
Ca_1503,1079.998291,790.3356286,Artec.Micro,yes
Ca_1504,3770.031494,1561.686974,Artec.Micro,yes
Ca_1505,1547.453003,910.8757236,Artec.Micro,yes
Ca_1506,7634.987305,2651.120463,Artec.Micro,yes
Ca_1507,2962.80542,1341.041285,Artec.Micro,yes
Ca_1508,4997.956055,2073.722896,Artec.Micro,yes
Ca_1509,7816.996094,2503.842617,Artec.Micro,yes
Ca_1510,3460.827148,1457.628233,Artec.Micro,yes
Ca_1511,7856.020996,2352.821708,Artec.Micro,yes
Ca_1512,2798.08252,1342.657858,Artec.Micro,yes
Ca_1513,5001.072266,1792.232427,Artec.Micro,yes
