ID,Site,Sub-layer,Raw.material,Fire,Cortex,Cortex.position,Class,Blank,Blank.technology,Technology,Preservation,Length,Width,Thickness,Platform.width,Platform.thickness,Platform.type,Platform.shape,Dorsal.thinning,Bulb,Bulbar.scars,Bulb.type,Shattered.bulb,Lip,Lip.type,Knapping.technique,Curvature,Torsion,Section,Blank.shape,Scar.pattern,Scar.Pattern.2,Distal.end,Plunging,Bladelet.negatives,Typology,Typology.new,Typology.macro,Aurignacian.retouch,Retouch.position,Dorsal.retouch.localization,Ventral.retouch.localization,left_right,unilateral_bilateral,Angle.retouch.left,Angle.retouch.right,Angle.retouch.base.apex,Retouch.type.left,Retouch.type.right,Retouch.type.base.apex,Retouch.shape.left,Retouch.shape.right,Retouch.shape.base.apex,Max.retouch.length,Bulin.spalls.negative,Torsion.simplified,Platform_ratio,Robustness,Elongation,Volume,Area,Scanner,model.3D
Ca_21,Cala,AU12,Radiolarite,FALSE,0%,NA,Tool,Blade,Optimal production,Optimal,Distal,26,13,5,NA,NA,NA,NA,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,Undetermined,NA,Unidirectional,Unidirectional parallel,Convex,FALSE,FALSE,Blade Aurignacian;Endscraper,Composite tool,Composite tool,yes,Direct,Continuous bilateral;Distal,NA,NA,NA,NA,NA,NA,Scalariform,Stepped,Lamellar,NA,NA,NA,4.5,NA,NA,NA,2.6,2,863.4555054,729.6281264,Artec.Spider,yes
Ca_22,Cala,AU12,Radiolarite,FALSE,0%,NA,Tool,Flake,Optimal production,Optimal,Distal,14,29.79999924,7.199999809,NA,NA,NA,NA,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Endscraper,Endscraper,Endscraper,no,Direct,Distal,NA,NA,NA,NA,NA,NA,NA,NA,Lamellar;Stepped,NA,NA,NA,67,NA,NA,NA,4.138888893,0.46979867,1114.279663,801.118839,Artec.Spider,yes
Ca_23,Cala,AU12,Radiolarite,TRUE,0%,NA,Core-Tool,Flake,Undetermined,Undetermined,Distal,10,27.39999962,13.89999962,NA,NA,NA,NA,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Endscraper carinated;Endscraper thick,Endscraper carinated,Endscraper,no,Direct,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lamellar,NA,NA,NA,11.60000038,NA,NA,NA,1.971223048,0.364963509,1745.226563,947.4365619,Artec.Spider,yes
Ca_24,Cala,AU12,Chert,FALSE,66-99%,Middle,Tool,Flake,Cortical,Initialization,Distal,20.79999924,20.29999924,9.199999809,NA,NA,NA,NA,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Endscraper thick,Endscraper,Endscraper,no,NA,Distal,NA,NA,NA,NA,NA,NA,NA,NA,Lamellar,NA,NA,NA,10.39999962,NA,NA,NA,2.206521702,1.024630543,1884.130737,1076.194843,Artec.Spider,yes
Ca_25,Cala,AU12,Unknown,FALSE,0%,NA,Tool,Flake,Undetermined,Undetermined,Complete,28,26,8.800000191,2.799999952,1.200000048,Plain,Oval,FALSE,TRUE,FALSE,Moderate,NA,FALSE,Absent,NA,Straight,NA,NA,Irregular,Unidirectional,Unidirectional parallel,NA,FALSE,FALSE,Endscraper thick,Endscraper,Endscraper,no,NA,Distal,NA,NA,NA,NA,NA,NA,NA,NA,Lamellar,NA,NA,NA,9.300000191,NA,NA,2.333333201,2.954545391,1.076923077,1819.062256,1127.325528,Artec.Spider,yes
Ca_26,Cala,AU12,Chert,FALSE,1-33%,Right,Tool,Flake,Semi-cortical,Semi-cortical,Complete,27.70000076,23.70000076,8.399999619,4.900000095,4,Plain,Rectangular,FALSE,TRUE,FALSE,Moderate,NA,TRUE,Pronounced,NA,NA,NA,NA,Convex,Unidirectional,Unidirectional parallel,NA,FALSE,FALSE,Endscraper,Endscraper,Endscraper,no,Direct,Distal,NA,NA,NA,NA,NA,NA,NA,NA,Lamellar,NA,NA,NA,9.100000381,NA,NA,1.225000024,2.82142879,1.168776366,1895.042725,1135.700974,Artec.Spider,yes
Ca_27,Cala,AU12,Radiolarite,FALSE,0%,NA,Tool,Flake,Undetermined,Undetermined,Complete,28.29999924,23.20000076,8.699999809,NA,NA,Undetermined,NA,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,NA,NA,Crossed,Other,NA,FALSE,FALSE,Endscraper flat-nosed,Endscraper flat-nosed,Endscraper,no,Direct,Distal,NA,NA,NA,NA,NA,NA,NA,NA,Stepped,NA,NA,NA,4.900000095,NA,NA,NA,2.666666813,1.219827513,2037.229614,1103.479635,Artec.Spider,yes
Ca_28,Cala,AU12,Radiolarite,FALSE,66-99%,NA,Tool,Flake,Cortical,Initialization,Complete,34.59999847,25.89999962,10.30000019,4,0.400000006,Cortical,Linear,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Endscraper thick,Endscraper,Endscraper,no,NA,Distal,NA,NA,NA,NA,NA,NA,NA,NA,Lamellar;Stepped,NA,NA,NA,8.899999619,NA,NA,9.999999851,2.514563023,1.335907297,3336.405762,1695.101055,Artec.Spider,yes
Ca_29,Cala,AU12,Radiolarite,FALSE,1-33%,NA,Core-Tool,Flake,Semi-cortical,Semi-cortical,Complete,10.39999962,31.5,32.20000076,13,5.5,Cortical,Rectangular,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,NA,NA,Unidirectional,Unidirectional parallel,NA,FALSE,FALSE,Endscraper thick-nosed,Endscraper thick-nosed,Endscraper,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.363636364,0.978260846,0.330158718,4987.584961,2140.506413,Artec.Spider,yes
Ca_30,Cala,AU12,Radiolarite,TRUE,33-66%,NA,Core-Tool,Flake,Semi-cortical,Semi-cortical,Undetermined,18.29999924,26.60000038,14,NA,NA,Undetermined,Undetermined,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,NA,NA,Undetermined,Undetermined,NA,FALSE,FALSE,Endscraper carinated,Endscraper carinated,Endscraper,no,Direct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.900000027,0.687969886,3467.727051,1469.45143,Artec.Spider,yes
